#{"t_start": 1767430297.9513621, "env_id": "None"}
r,l,t
-9673.7,2000,5.639568
-7947.9,2000,14.785367
-1683.55,2000,24.829969
-1753.65,2000,34.750935
-10030.8,2000,44.05859
-602.05,2000,59.519091
-946.35,2000,68.172212
-8488.1,2000,77.571791
-668.8,2000,87.276792
-1606.45,2000,97.826169
-29.85,2000,114.663509
-488.6,2000,124.206326
-639.65,2000,133.939335
-9010.15,2000,143.10049
-8658.4,2000,152.349304
-1134.8,2000,168.08013
-1371.25,2000,178.301889
-1194.75,2000,187.35738
-7369.75,2000,196.446984
-2234.5,2000,205.347776
-2088.2,2000,221.821534
-8252.35,2000,230.685369
-1153.15,2000,239.760413
-8501.15,2000,249.023297
-1566.5,2000,257.964633
-1958.95,2000,273.858455
-8078.15,2000,283.033406
-7857.35,2000,291.919467
-444.65,2000,300.804283
-968.95,2000,310.20266
-738.85,2000,326.362855
44.15,2000,335.644059
978.15,2000,344.991495
-8501.2,2000,353.848748
-1169.5,2000,362.738098
-1296.2,2000,379.098919
-7268.8,2000,388.054435
986.1,2000,397.226094
-402.65,2000,406.40854
-8403.2,2000,415.598119
-240.7,2000,431.657435
-8057.3,2000,440.62688
-1397.55,2000,444.500679
619.0,2000,453.581269
1447.7,2000,462.696269
-1551.3,2000,478.903706
235.2,2000,488.015035
-996.85,2000,497.022243
1932.35,2000,506.059236
-1916.8,2000,515.209185
-1310.55,2000,531.362891
-8227.55,2000,540.379878
-8512.5,2000,549.659997
-1431.6,2000,558.645223
-3705.8,2000,567.620456
-1590.5,2000,585.285569
-7397.75,2000,595.468404
-463.0,2000,605.437747
1886.2,2000,614.582338
405.9,2000,623.509034
220.45,2000,639.919033
1714.35,2000,649.052352
-626.65,2000,657.88805
-4891.3,2000,666.725472
-7317.4,2000,675.976984
-758.6,2000,692.277117
1379.7,2000,701.449805
2830.45,2000,711.094843
350.15,2000,720.079748
1578.1,2000,729.357324
-930.7,2000,745.275616
180.25,2000,754.547915
-7250.1,2000,763.616867
1019.8,2000,773.589649
-387.95,2000,782.699463
1473.3,2000,798.690321
2671.65,2000,807.616371
757.1,2000,816.744064
1420.05,2000,825.81109
-6632.75,2000,834.713476
3297.35,2000,850.93275
2110.05,2000,859.953752
-5189.85,2000,868.770591
1181.8,2000,877.866122
-6808.65,2000,886.907459
-1098.3,2000,897.907168
1012.15,2000,906.929105
-7346.8,2000,916.260018
87.6,2000,925.313812
-6483.4,2000,934.502512
635.15,2000,950.664633
3141.45,2000,959.663079
270.05,2000,969.071851
277.25,2000,978.189362
-6418.45,2000,987.462152
-1121.45,2000,1003.985161
1522.5,2000,1013.002335
-6046.15,2000,1021.992727
-7338.5,2000,1031.326175
-7114.1,2000,1040.682499
-447.1,2000,1056.714683
666.05,2000,1065.929129
2559.3,2000,1075.073677
1850.45,2000,1084.183356
152.6,2000,1093.442904
-2808.75,2000,1109.309283
1156.7,2000,1118.659809
2084.25,2000,1127.558328
-73.95,2000,1136.433211
-6739.65,2000,1145.303282
-6675.95,2000,1161.692305
928.3,2000,1170.659773
291.9,2000,1180.088629
1775.5,2000,1188.946984
-1348.75,2000,1197.845916
781.95,2000,1213.962751
-1619.9,2000,1222.973453
2411.85,2000,1232.210233
-6332.2,2000,1241.500393
-7182.0,2000,1250.370676
-6639.35,2000,1266.163491
-6573.75,2000,1275.273305
-5566.2,2000,1284.328434
-4432.35,2000,1293.441502
3341.95,2000,1302.731107
-252.35,2000,1318.935362
2311.1,2000,1327.932653
659.4,2000,1331.980713
1728.45,2000,1340.891489
2328.45,2000,1349.83999
1579.95,2000,1366.368069
