#{"t_start": 1767430297.952366, "env_id": "None"}
r,l,t
-9173.9,2000,5.638564
-2336.9,2000,14.784363
-9561.55,2000,24.828965
-1780.85,2000,34.749931
-1314.95,2000,44.057586
-1551.15,2000,59.518087
-1883.45,2000,68.171208
-917.4,2000,77.570787
-2688.25,2000,87.275788
-2198.45,2000,97.825166
-94.75,2000,114.662505
-1652.1,2000,124.205322
-9500.3,2000,133.938331
-430.35,2000,143.099486
-1444.6,2000,152.3483
-854.2,2000,168.079126
-100.6,2000,178.300885
-1638.15,2000,187.356376
-8258.75,2000,196.44598
636.9,2000,205.346772
-499.2,2000,221.82053
-1493.1,2000,230.684365
-1562.3,2000,239.759409
92.4,2000,249.022293
-162.5,2000,257.963629
-71.0,2000,273.857451
-2935.3,2000,283.032402
-7693.75,2000,291.918463
-8521.5,2000,300.803279
-8510.75,2000,310.201656
300.7,2000,326.361851
-832.8,2000,335.643055
-7825.35,2000,344.990491
756.0,2000,353.847744
-7819.45,2000,362.737094
1594.65,2000,379.097915
1132.65,2000,388.053431
-8948.5,2000,397.22509
-1211.9,2000,406.407537
-8254.45,2000,415.597115
-8385.2,2000,431.656431
-493.55,2000,440.625876
-803.25,2000,444.499675
-8327.8,2000,453.580265
-7671.45,2000,462.695265
-8556.05,2000,478.902702
663.55,2000,488.014031
902.5,2000,497.021239
120.3,2000,506.058232
-7415.35,2000,515.208181
-8175.5,2000,531.361887
-8482.05,2000,540.378874
-2018.4,2000,549.658993
390.25,2000,558.644219
-8153.25,2000,567.619452
956.3,2000,585.284565
1575.0,2000,595.4674
328.25,2000,605.436743
117.25,2000,614.581334
919.55,2000,623.50803
-1027.05,2000,639.918029
-7863.75,2000,649.051348
-7448.3,2000,657.887046
1159.55,2000,666.724468
314.85,2000,675.97598
-706.95,2000,692.276113
-393.9,2000,701.448801
660.3,2000,711.093839
-6997.3,2000,720.078744
-7155.2,2000,729.35632
1764.1,2000,745.274612
350.65,2000,754.546911
-4550.35,2000,763.615863
-6746.2,2000,773.588645
1572.05,2000,782.698459
-7286.25,2000,798.689317
-372.3,2000,807.615367
-6730.85,2000,816.74306
792.8,2000,825.810086
2434.0,2000,834.712472
1804.9,2000,850.931746
-6900.6,2000,859.952748
1592.0,2000,868.769587
1984.15,2000,877.869182
1296.65,2000,886.906455
1723.8,2000,897.906164
-7614.8,2000,906.928101
-6453.8,2000,916.257009
-6610.9,2000,925.312809
-6956.7,2000,934.501508
-7597.05,2000,950.663629
2176.05,2000,959.662075
2041.65,2000,969.070847
1211.3,2000,978.188358
-7193.15,2000,987.461148
2796.45,2000,1003.984157
447.45,2000,1013.001331
104.1,2000,1021.991723
-1597.15,2000,1031.325171
-7011.45,2000,1040.681495
987.7,2000,1056.713679
1851.1,2000,1065.928125
2303.95,2000,1075.072673
-1023.15,2000,1084.182352
1465.35,2000,1093.4419
-7044.45,2000,1109.308279
-7487.3,2000,1118.658805
-6985.1,2000,1127.557324
-6879.3,2000,1136.432207
-7445.1,2000,1145.302278
348.85,2000,1161.691301
-7262.65,2000,1170.658769
1276.6,2000,1180.087625
-64.6,2000,1188.94598
-6546.1,2000,1197.844912
-7376.7,2000,1213.961747
-7148.25,2000,1222.972449
-7018.15,2000,1232.209229
1900.9,2000,1241.499389
955.15,2000,1250.369672
2775.9,2000,1266.162487
2349.5,2000,1275.272301
2339.1,2000,1284.32743
1381.1,2000,1293.440498
-188.8,2000,1302.730103
-6942.1,2000,1318.934358
-592.75,2000,1327.931649
453.45,2000,1331.979709
1083.5,2000,1340.890485
2738.05,2000,1349.838986
-225.1,2000,1366.367065
-6506.75,2000,1376.660691
-5676.8,2000,1386.046238
-6902.75,2000,1395.425122
1375.25,2000,1404.461592
-1271.55,2000,1420.966338
1215.95,2000,1430.017326
-569.5,2000,1439.116584
-6224.65,2000,1448.372327
-3412.2,2000,1457.455689
-7089.55,2000,1473.42646
606.2,2000,1482.568626
-6454.15,2000,1491.519563
-6711.5,2000,1500.560864
-299.3,2000,1509.714068
637.85,2000,1525.576469
3103.55,2000,1534.627741
697.95,2000,1543.757398
-773.85,2000,1552.749633
621.15,2000,1561.653371
-5916.0,2000,1578.000884
2254.95,2000,1586.965104
3009.95,2000,1596.245914
-6232.85,2000,1605.626386
-2455.35,2000,1614.665591
1563.3,2000,1630.987167
-4336.25,2000,1639.888158
-472.9,2000,1648.758148
-638.4,2000,1658.08314
-6938.5,2000,1667.260336
375.3,2000,1683.200651
-6986.1,2000,1692.419433
-728.6,2000,1701.470967
