#{"t_start": 1767430297.9513621, "env_id": "None"}
r,l,t
-9293.45,2000,5.639568
-8513.05,2000,14.785367
-3990.2,2000,24.829969
-1320.5,2000,34.750935
-1382.15,2000,44.05859
-1903.5,2000,59.519091
-8411.15,2000,68.172212
-559.85,2000,77.571791
-1015.5,2000,87.276792
-8925.3,2000,97.825166
-8176.6,2000,114.663509
-2393.0,2000,124.206326
-2150.65,2000,133.939335
-844.4,2000,143.10049
-104.65,2000,152.349304
-7659.6,2000,168.08013
-8854.35,2000,178.301889
715.45,2000,187.35738
-157.65,2000,196.446984
-1066.65,2000,205.347776
-27.85,2000,221.821534
-1120.45,2000,230.685369
678.25,2000,239.760413
-1569.4,2000,249.023297
1967.4,2000,257.964633
-1981.0,2000,273.858455
-446.7,2000,283.033406
-461.2,2000,291.919467
464.4,2000,300.804283
-7751.65,2000,310.20266
-7911.2,2000,326.362855
-1254.9,2000,335.644059
1781.8,2000,344.991495
1701.4,2000,353.848748
-7860.9,2000,362.738098
1548.2,2000,379.098919
26.2,2000,388.054435
-7743.75,2000,397.226094
1023.6,2000,406.40854
2900.6,2000,415.598119
-2150.0,2000,431.657435
1304.65,2000,440.62688
-1956.6,2000,444.500679
823.65,2000,453.581269
2496.7,2000,462.696269
-6744.05,2000,478.903706
-7930.5,2000,488.015035
-2112.2,2000,497.022243
-8432.5,2000,506.059236
1034.7,2000,515.209185
-7592.7,2000,531.362891
-8065.95,2000,540.379878
-1321.55,2000,549.659997
-2270.1,2000,558.645223
-3879.85,2000,567.620456
112.3,2000,585.285569
282.5,2000,595.468404
153.45,2000,605.437747
491.3,2000,614.582338
-2388.75,2000,623.50699
-30.25,2000,639.919033
608.55,2000,649.052352
-7775.6,2000,657.88805
25.6,2000,666.725472
1584.0,2000,675.976984
-1067.9,2000,692.277117
-808.15,2000,701.449805
-7727.85,2000,711.094843
78.85,2000,720.079748
350.9,2000,729.357324
3086.9,2000,745.275616
-887.95,2000,754.547915
-6878.95,2000,763.616867
-1488.55,2000,773.589649
-181.0,2000,782.699463
-7552.0,2000,798.690321
2625.8,2000,807.616371
-346.7,2000,816.744064
-792.8,2000,825.81109
-7033.45,2000,834.713476
867.95,2000,850.930747
-889.3,2000,859.953752
2161.05,2000,868.770591
-3288.55,2000,877.865122
-7210.9,2000,886.907459
-3337.5,2000,897.907168
-4950.3,2000,906.929105
-1604.45,2000,916.260018
99.3,2000,925.313812
-7225.55,2000,934.502512
-583.6,2000,950.664633
-7205.45,2000,959.663079
603.75,2000,969.071851
-7783.6,2000,978.189362
2297.8,2000,987.462152
1631.55,2000,1003.985161
-1809.45,2000,1013.002335
-6836.0,2000,1021.992727
354.4,2000,1031.326175
2200.2,2000,1040.682499
467.6,2000,1056.714683
1608.5,2000,1065.929129
-797.1,2000,1075.073677
2248.1,2000,1084.183356
1961.2,2000,1093.442904
1337.4,2000,1109.309283
1937.2,2000,1118.659809
47.55,2000,1127.558328
-133.95,2000,1136.433211
1680.95,2000,1145.303282
3344.9,2000,1161.692305
-1155.2,2000,1170.659773
-5828.55,2000,1180.088629
2869.7,2000,1188.946984
1521.8,2000,1197.843912
-6669.15,2000,1213.962751
1124.2,2000,1222.973453
138.8,2000,1232.210233
416.8,2000,1241.500393
835.1,2000,1250.370676
-6952.05,2000,1266.163491
346.75,2000,1275.273305
-263.25,2000,1284.328434
-7784.8,2000,1293.441502
1981.35,2000,1302.731107
338.75,2000,1318.935362
-6274.2,2000,1327.932653
-4597.6,2000,1331.980713
1789.2,2000,1340.891489
-2328.1,2000,1349.83999
-7163.15,2000,1366.368069
1429.15,2000,1376.661695
-312.4,2000,1386.047242
2045.0,2000,1395.426126
-6308.55,2000,1404.462596
-7364.35,2000,1420.967342
1914.45,2000,1430.01833
1388.1,2000,1439.117588
208.6,2000,1448.373331
722.25,2000,1457.456693
407.95,2000,1473.427464
-6098.2,2000,1482.56963
640.25,2000,1491.520567
-2327.9,2000,1500.561868
-6974.1,2000,1509.715072
-7086.7,2000,1525.577473
-6942.25,2000,1534.628745
-7399.95,2000,1543.758402
-6537.75,2000,1552.750637
155.4,2000,1561.654375
-6801.05,2000,1578.001888
1809.1,2000,1586.966108
1907.65,2000,1596.246918
1782.75,2000,1605.62739
-7074.3,2000,1614.666595
-6916.95,2000,1630.988171
-7349.05,2000,1639.889162
2663.4,2000,1648.759152
-6447.8,2000,1658.084144
-5790.6,2000,1667.26134
3225.6,2000,1683.201655
-6543.25,2000,1692.420437
984.35,2000,1701.471971
-1508.7,2000,1710.636657
1328.95,2000,1720.024179
1132.0,2000,1735.856177
-785.85,2000,1744.836414
943.95,2000,1754.055111
1271.7,2000,1763.107889
-189.5,2000,1772.236908
2417.65,2000,1783.146185
253.75,2000,1792.188329
-546.8,2000,1801.134091
-259.65,2000,1810.466097
-613.9,2000,1819.400264
318.6,2000,1835.42655
2350.4,2000,1844.599819
1153.05,2000,1853.50649
-7246.1,2000,1862.552992
1369.2,2000,1871.857827
-522.0,2000,1887.525278
-3295.4,2000,1896.795412
1081.35,2000,1906.048842
1156.9,2000,1915.061701
1347.5,2000,1923.966077
-47.75,2000,1940.233572
596.85,2000,1949.271836
-4286.9,2000,1958.658905
-234.2,2000,1967.774619
921.55,2000,1977.672957
1624.5,2000,1993.87429
1580.8,2000,2002.93534
2770.2,2000,2012.116141
582.9,2000,2021.454679
823.9,2000,2030.53244
-7444.8,2000,2046.149976
2675.15,2000,2055.275239
