#{"t_start": 1767430297.952366, "env_id": "None"}
r,l,t
-1262.1,2000,2392.602026
1081.15,2000,2408.619278
-7171.3,2000,2417.859225
-6829.95,2000,2427.014675
-6324.45,2000,2436.23238
1590.85,2000,2445.503322
2649.15,2000,2461.359159
-6709.7,2000,2471.096454
3003.25,2000,2480.794356
23.45,2000,2490.460903
844.4,2000,2499.981281
-6956.45,2000,2515.939797
-1816.4,2000,2524.832865
-2902.8,2000,2534.205901
2149.75,2000,2543.171558
-6711.95,2000,2552.512866
-6834.1,2000,2568.766144
-7127.4,2000,2578.815802
-115.6,2000,2587.790559
-184.3,2000,2597.058619
2723.75,2000,2605.948853
-6406.6,2000,2622.357493
2119.8,2000,2631.23983
2588.55,2000,2640.068269
-601.9,2000,2649.275896
168.65,2000,2658.195881
-2375.8,2000,2668.873492
-7297.35,2000,2678.025195
822.45,2000,2687.348747
-6774.4,2000,2696.315418
-6815.55,2000,2705.123821
2497.45,2000,2721.281443
-6605.8,2000,2730.17166
2010.25,2000,2739.836806
-3582.8,2000,2748.93475
1919.9,2000,2758.179795
300.45,2000,2774.676464
1051.2,2000,2783.745706
2011.15,2000,2792.935662
4237.15,2000,2802.317111
-259.15,2000,2811.403614
2513.75,2000,2827.591928
-7030.85,2000,2836.970942
1600.45,2000,2845.88461
-5381.6,2000,2854.988599
-1061.95,2000,2864.189262
-6527.9,2000,2880.171383
899.65,2000,2889.668339
-5839.5,2000,2898.636014
2153.45,2000,2907.66863
1990.25,2000,2916.78554
-6850.1,2000,2933.035565
-1086.2,2000,2941.856243
1422.65,2000,2951.282431
1130.25,2000,2960.131438
3175.65,2000,2969.017415
-1197.75,2000,2985.431189
-7338.55,2000,2994.480319
370.3,2000,3003.401046
715.65,2000,3012.842568
1368.8,2000,3021.913977
3986.15,2000,3038.017455
-3213.8,2000,3047.328032
-2415.6,2000,3056.274956
370.1,2000,3065.14498
-995.9,2000,3074.407356
3087.55,2000,3090.352527
1619.65,2000,3099.981635
4129.3,2000,3108.812738
-5613.95,2000,3112.651766
-417.55,2000,3121.486763
1958.0,2000,3138.136925
-2107.7,2000,3147.147727
581.25,2000,3156.429455
-233.7,2000,3165.681514
-6741.3,2000,3175.874349
-2216.1,2000,3192.835907
2421.45,2000,3201.766111
2353.85,2000,3210.695716
1671.2,2000,3220.332112
1049.85,2000,3229.309482
1499.0,2000,3245.337702
2703.3,2000,3254.617198
975.5,2000,3263.493151
-5635.3,2000,3272.432339
1907.1,2000,3281.810194
1350.15,2000,3297.799985
-6671.1,2000,3306.728464
3072.2,2000,3316.097513
1302.8,2000,3325.055165
350.2,2000,3334.070385
-6266.55,2000,3350.421362
-199.8,2000,3359.311188
-20.0,2000,3368.317058
1729.25,2000,3377.750694
1918.65,2000,3386.734948
2381.5,2000,3402.951915
-787.8,2000,3411.838895
-6990.85,2000,3420.880834
342.4,2000,3430.142445
-6816.65,2000,3439.11905
-6540.2,2000,3455.261208
480.6,2000,3464.576211
1202.15,2000,3473.561013
-6620.4,2000,3482.713129
-7206.25,2000,3492.12843
-10.05,2000,3508.041917
-6816.85,2000,3517.190481
121.2,2000,3526.521081
-6719.3,2000,3535.716878
-1073.45,2000,3544.683091
-6373.3,2000,3561.080325
1039.75,2000,3564.911291
2117.0,2000,3573.999134
-27.3,2000,3583.237706
297.35,2000,3592.177401
1756.25,2000,3608.133612
-4171.3,2000,3617.768755
298.5,2000,3626.750064
602.2,2000,3635.949248
-7089.1,2000,3645.405603
1569.8,2000,3661.458237
837.6,2000,3670.885111
744.95,2000,3679.847497
-622.35,2000,3688.839696
-6146.1,2000,3697.951966
45.65,2000,3714.062868
397.25,2000,3723.050394
2090.8,2000,3732.329179
2138.8,2000,3741.215797
1333.5,2000,3750.223985
469.3,2000,3766.658461
3706.95,2000,3776.467404
2212.95,2000,3785.550379
-660.05,2000,3794.918608
-853.9,2000,3803.887116
4047.0,2000,3820.1757
-236.4,2000,3829.09653
-7213.45,2000,3837.91267
2244.65,2000,3846.790239
3154.2,2000,3856.023804
450.05,2000,3871.686375
